mouseID,Time,Gender,injured,CaAmplit,CaArea,rearing,grooming,NCaAmplit,NCaArea,Nrearing,Ngrooming
i08,3,m,1,2.5523,768.34683,37,48,0.76995942501169,1.8899512371449,0.831460674157303,0.876712328767123
i08,7,m,1,1.3928,436.681436810482,36,59,0.420169841772629,1.0741329169513,0.808988764044944,1.07762557077626
i08,14,m,1,2.5377,250.961645165348,42,65,0.7655550024888,0.617306212815595,0.943820224719101,1.18721461187215
i08,56,m,1,3.76261857935023,286.34695,34,43,1.1350795900267,0.704345682541786,0.764044943820225,0.785388127853881
i05,-7,f,1,5.0416,NaN,19,27,1.55314921211935,NaN,0.752475247524752,0.710526315789474
i05,-6,f,1,2.3628,345.64738,20,25,0.727900063153679,1.04347386903058,0.792079207920792,0.657894736842105
i05,-4,f,1,3.9075,342.60175649357,44,62,1.20377073674158,1.03427944509523,1.74257425742574,1.63157894736842
i05,-0.014,f,1,1.6723,305.491195436508,18,38,0.515179987985398,0.922246480378099,0.712871287128713,1
i05,0,f,1,NaN,NaN,3,13,NaN,NaN,0.118811881188119,0.342105263157895
i05,0.014,f,1,3.5734,1567.80883863821,0,21,1.10084564316631,4.73305353784009,0,0.552631578947368
i05,0.042,f,1,2.2712,1588.17034955886,15,40,0.699681150937293,4.79452284387007,0.594059405940594,1.05263157894737
i05,1,f,1,4.9611,415.228301024481,23,55,1.52834984057547,1.25353150890659,0.910891089108911,1.44736842105263
i05,3,f,1,2.3989,376.308665939454,21,50,0.739021272007517,1.13603713587408,0.831683168316832,1.31578947368421
i05,7,f,1,1.7685,357.219430741898,52,26,0.544816007147148,1.07840869931996,2.05940594059406,0.68421052631579
i05,14,f,1,3.1238,327.621744866791,34,60,0.962338842593306,0.989056331613742,1.34653465346535,1.57894736842105
i05,56,f,1,2.57592191315444,NaN,37,36,0.793555833397514,NaN,1.46534653465347,0.947368421052632
i02,-7,m,1,1.4883,382.86967464385,18,15,0.657151372652913,1.34342401279478,0.96,1
i02,-6,m,1,2.0372,155.640991449027,24,17,0.899515404399996,0.546117541124951,1.28,1.13333333333333
